fen,move,eval_before,eval_after,delta,label
3r1b1Q/p4q2/1p2k2p/4N1p1/8/8/PP3PPP/1RB2RK1 w - - 3 22,Nxf7,911,926,15,1
3r1b1Q/p4N2/1p2k2p/6p1/8/8/PP3PPP/1RB2RK1 b - - 0 22,Kxf7,926,936,10,1
3r1b1Q/p4k2/1p5p/6p1/8/8/PP3PPP/1RB2RK1 w - - 0 23,Qc3,938,877,-61,1
3r1b2/p4k2/1p5p/6p1/8/2Q5/PP3PPP/1RB2RK1 b - - 1 23,Re8,871,855,-16,1
4rb2/p4k2/1p5p/6p1/8/2Q5/PP3PPP/1RB2RK1 w - - 2 24,f4,882,761,-121,0
4rb2/p4k2/1p5p/6p1/5P2/2Q5/PP4PP/1RB2RK1 b - - 0 24,gxf4,764,945,181,1
4rb2/p4k2/1p5p/8/5p2/2Q5/PP4PP/1RB2RK1 w - - 0 25,Rxf4+,912,860,-52,1
4rb2/p4k2/1p5p/8/5R2/2Q5/PP4PP/1RB3K1 b - - 0 25,Kg8,905,941,36,1
4rbk1/p7/1p5p/8/5R2/2Q5/PP4PP/1RB3K1 w - - 1 26,Rg4+,928,1018,90,1
4rbk1/p7/1p5p/8/6R1/2Q5/PP4PP/1RB3K1 b - - 2 26,Kh7,1043,9993,8950,1
4rb2/p6k/1p5p/8/6R1/2Q5/PP4PP/1RB3K1 w - - 3 27,Qc7+,9993,790,-9203,0
4rb2/p1Q4k/1p5p/8/6R1/8/PP4PP/1RB3K1 b - - 4 27,Kh8,783,1040,257,1
4rb1k/p1Q5/1p5p/8/6R1/8/PP4PP/1RB3K1 w - - 5 28,Be3,9993,738,-9255,0
4rb1k/p1Q5/1p5p/8/6R1/4B3/PP4PP/1R4K1 b - - 6 28,h5,794,9997,9203,1
4rb1k/p1Q5/1p6/7p/6R1/4B3/PP4PP/1R4K1 w - - 0 29,Rg5,9997,9993,-4,1
4rb1k/p1Q5/1p6/6Rp/8/4B3/PP4PP/1R4K1 b - - 1 29,h4,9993,9997,4,1
4rb1k/p1Q5/1p6/6R1/7p/4B3/PP4PP/1R4K1 w - - 0 30,Rf1,9997,9997,0,1
4rb1k/p1Q5/1p6/6R1/7p/4B3/PP4PP/5RK1 b - - 1 30,h3,9997,9998,1,1
4rb1k/p1Q5/1p6/6R1/8/4B2p/PP4PP/5RK1 w - - 0 31,Bd4+,9998,9999,1,1
4rb1k/p1Q5/1p6/6R1/3B4/7p/PP4PP/5RK1 b - - 1 31,Bg7,9999,9999,0,1
4r2k/p1Q3b1/1p6/6R1/3B4/7p/PP4PP/5RK1 w - - 2 32,Rxg7,9999,9998,-1,1
4r2k/p1Q3R1/1p6/8/3B4/7p/PP4PP/5RK1 b - - 0 32,Rg8,9998,9999,1,1
6rk/p1Q3R1/1p6/8/3B4/7p/PP4PP/5RK1 w - - 1 33,Rxg8+,9999,9999,0,1
6Rk/p1Q5/1p6/8/3B4/7p/PP4PP/5RK1 b - - 0 33,Kxg8,9999,9999,0,1
6k1/p1Q5/1p6/8/3B4/7p/PP4PP/5RK1 w - - 0 34,Qg7#,9999,10000,1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,31,29,-2,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c6,38,45,7,1
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Bc4,48,-38,-86,1
rnbqkbnr/pp1ppppp/2p5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,d5,-43,-40,3,1
rnbqkbnr/pp2pppp/2p5/3p4/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,exd5,-41,-43,-2,1
rnbqkbnr/pp2pppp/2p5/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,cxd5,-41,-34,7,1
rnbqkbnr/pp2pppp/8/3p4/2B5/8/PPPP1PPP/RNBQK1NR w KQkq - 0 4,Bb3,-37,-35,2,1
rnbqkbnr/pp2pppp/8/3p4/8/1B6/PPPP1PPP/RNBQK1NR b KQkq - 1 4,e5,-37,1,38,1
rnbqkbnr/pp3ppp/8/3pp3/8/1B6/PPPP1PPP/RNBQK1NR w KQkq - 0 5,d4,9,-6,-15,1
rnbqkbnr/pp3ppp/8/3pp3/3P4/1B6/PPP2PPP/RNBQK1NR b KQkq - 0 5,Nc6,4,134,130,1
r1bqkbnr/pp3ppp/2n5/3pp3/3P4/1B6/PPP2PPP/RNBQK1NR w KQkq - 1 6,Nf3,90,-22,-112,0
r1bqkbnr/pp3ppp/2n5/3pp3/3P4/1B3N2/PPP2PPP/RNBQK2R b KQkq - 2 6,e4,-23,-24,-1,1
r1bqkbnr/pp3ppp/2n5/3p4/3Pp3/1B3N2/PPP2PPP/RNBQK2R w KQkq - 0 7,Nfd2,-4,-165,-161,0
r1bqkbnr/pp3ppp/2n5/3p4/3Pp3/1B6/PPPN1PPP/RNBQK2R b KQkq - 1 7,Nf6,-156,-116,40,1
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/1B6/PPPN1PPP/RNBQK2R w KQkq - 2 8,O-O,-114,-192,-78,1
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/1B6/PPPN1PPP/RNBQ1RK1 b kq - 3 8,Bd6,-200,-146,54,1
r1bqk2r/pp3ppp/2nb1n2/3p4/3Pp3/1B6/PPPN1PPP/RNBQ1RK1 w kq - 4 9,f4,-135,-339,-204,0
r1bqk2r/pp3ppp/2nb1n2/3p4/3PpP2/1B6/PPPN2PP/RNBQ1RK1 b kq f3 0 9,O-O,-364,-263,101,1
r1bq1rk1/pp3ppp/2nb1n2/3p4/3PpP2/1B6/PPPN2PP/RNBQ1RK1 w - - 1 10,f5,-286,-394,-108,0
r1bq1rk1/pp3ppp/2nb1n2/3p1P2/3Pp3/1B6/PPPN2PP/RNBQ1RK1 b - - 0 10,Qc7,-409,-293,116,1
r1b2rk1/ppq2ppp/2nb1n2/3p1P2/3Pp3/1B6/PPPN2PP/RNBQ1RK1 w - - 1 11,Nc3,-314,-303,11,1
r1b2rk1/ppq2ppp/2nb1n2/3p1P2/3Pp3/1BN5/PPPN2PP/R1BQ1RK1 b - - 2 11,Bxh2+,-289,-327,-38,1
r1b2rk1/ppq2ppp/2n2n2/3p1P2/3Pp3/1BN5/PPPN2Pb/R1BQ1RK1 w - - 0 12,Kh1,-318,-337,-19,1
r1b2rk1/ppq2ppp/2n2n2/3p1P2/3Pp3/1BN5/PPPN2Pb/R1BQ1R1K b - - 1 12,Nxd4,-319,-214,105,1
r1b2rk1/ppq2ppp/5n2/3p1P2/3np3/1BN5/PPPN2Pb/R1BQ1R1K w - - 0 13,Bxd5,-202,-228,-26,1
r1b2rk1/ppq2ppp/5n2/3B1P2/3np3/2N5/PPPN2Pb/R1BQ1R1K b - - 0 13,e3,-220,-216,4,1
r1b2rk1/ppq2ppp/5n2/3B1P2/3n4/2N1p3/PPPN2Pb/R1BQ1R1K w - - 0 14,Nde4,-220,-242,-22,1
r1b2rk1/ppq2ppp/5n2/3B1P2/3nN3/2N1p3/PPP3Pb/R1BQ1R1K b - - 1 14,Nxd5,-260,-249,11,1
r1b2rk1/ppq2ppp/8/3n1P2/3nN3/2N1p3/PPP3Pb/R1BQ1R1K w - - 0 15,Nxd5,-219,-332,-113,0
r1b2rk1/ppq2ppp/8/3N1P2/3nN3/4p3/PPP3Pb/R1BQ1R1K b - - 0 15,Qe5,-363,-163,200,1
r1b2rk1/pp3ppp/8/3NqP2/3nN3/4p3/PPP3Pb/R1BQ1R1K w - - 1 16,Nec3,-138,-375,-237,0
r1b2rk1/pp3ppp/8/3NqP2/3n4/2N1p3/PPP3Pb/R1BQ1R1K b - - 2 16,Bxf5,-347,306,653,1
r4rk1/pp3ppp/8/3Nqb2/3n4/2N1p3/PPP3Pb/R1BQ1R1K w - - 0 17,Nxe3,272,-344,-616,0
r4rk1/pp3ppp/8/4qb2/3n4/2N1N3/PPP3Pb/R1BQ1R1K b - - 0 17,Bg6,-281,0,281,1
r4rk1/pp3ppp/6b1/4q3/3n4/2N1N3/PPP3Pb/R1BQ1R1K w - - 1 18,Ng4,0,0,0,1
r4rk1/pp3ppp/6b1/4q3/3n2N1/2N5/PPP3Pb/R1BQ1R1K b - - 2 18,Qh5,0,0,0,1
r4rk1/pp3ppp/6b1/7q/3n2N1/2N5/PPP3Pb/R1BQ1R1K w - - 3 19,Qxd4,0,-727,-727,0
r4rk1/pp3ppp/6b1/7q/3Q2N1/2N5/PPP3Pb/R1B2R1K b - - 0 19,Be5+,-753,-724,29,1
r4rk1/pp3ppp/6b1/4b2q/3Q2N1/2N5/PPP3P1/R1B2R1K w - - 1 20,Kg1,-724,-724,0,1
r4rk1/pp3ppp/6b1/4b2q/3Q2N1/2N5/PPP3P1/R1B2RK1 b - - 2 20,Bxd4+,-741,-718,23,1
r4rk1/pp3ppp/6b1/7q/3b2N1/2N5/PPP3P1/R1B2RK1 w - - 0 21,Be3,-699,-745,-46,1
r4rk1/pp3ppp/6b1/7q/3b2N1/2N1B3/PPP3P1/R4RK1 b - - 1 21,Bxe3+,-788,-647,141,1
r4rk1/pp3ppp/6b1/7q/6N1/2N1b3/PPP3P1/R4RK1 w - - 0 22,Nxe3,-630,-642,-12,1
r4rk1/pp3ppp/6b1/7q/8/2N1N3/PPP3P1/R4RK1 b - - 0 22,Rfe8,-632,-606,26,1
r3r1k1/pp3ppp/6b1/7q/8/2N1N3/PPP3P1/R4RK1 w - - 1 23,Ned5,-618,-666,-48,1
r3r1k1/pp3ppp/6b1/3N3q/8/2N5/PPP3P1/R4RK1 b - - 2 23,Rac8,-619,-601,18,1
2r1r1k1/pp3ppp/6b1/3N3q/8/2N5/PPP3P1/R4RK1 w - - 3 24,Nb4,-586,-698,-112,0
2r1r1k1/pp3ppp/6b1/7q/1N6/2N5/PPP3P1/R4RK1 b - - 4 24,Qc5+,-642,-640,2,1
2r1r1k1/pp3ppp/6b1/2q5/1N6/2N5/PPP3P1/R4RK1 w - - 5 25,Kh1,-653,-753,-100,1
2r1r1k1/pp3ppp/6b1/2q5/1N6/2N5/PPP3P1/R4R1K b - - 6 25,Qxb4,-783,-760,23,1
2r1r1k1/pp3ppp/6b1/8/1q6/2N5/PPP3P1/R4R1K w - - 0 26,Nd5,-742,-851,-109,0
2r1r1k1/pp3ppp/6b1/3N4/1q6/8/PPP3P1/R4R1K b - - 1 26,Qh4+,-864,-829,35,1
2r1r1k1/pp3ppp/6b1/3N4/7q/8/PPP3P1/R4R1K w - - 2 27,Kg1,-863,-866,-3,1
2r1r1k1/pp3ppp/6b1/3N4/7q/8/PPP3P1/R4RK1 b - - 3 27,Qd4+,-870,-856,14,1
2r1r1k1/pp3ppp/6b1/3N4/3q4/8/PPP3P1/R4RK1 w - - 4 28,Ne3,-872,-920,-48,1
2r1r1k1/pp3ppp/6b1/8/3q4/4N3/PPP3P1/R4RK1 b - - 5 28,Qxe3+,-920,-934,-14,1
2r1r1k1/pp3ppp/6b1/8/8/4q3/PPP3P1/R4RK1 w - - 0 29,Kh1,-881,-920,-39,1
2r1r1k1/pp3ppp/6b1/8/8/4q3/PPP3P1/R4R1K b - - 1 29,Bxc2,-935,-942,-7,1
2r1r1k1/pp3ppp/8/8/8/4q3/PPb3P1/R4R1K w - - 0 30,Rac1,-964,-1109,-145,0
2r1r1k1/pp3ppp/8/8/8/4q3/PPb3P1/2R2R1K b - - 1 30,Be4,-1112,-1135,-23,1
2r1r1k1/pp3ppp/8/8/4b3/4q3/PP4P1/2R2R1K w - - 2 31,Rfe1,-1449,-9998,-8549,0
2r1r1k1/pp3ppp/8/8/4b3/4q3/PP4P1/2R1R2K b - - 3 31,Qh6+,-9998,-1146,8852,1
2r1r1k1/pp3ppp/7q/8/4b3/8/PP4P1/2R1R2K w - - 4 32,Kg1,-9991,-9991,0,1
2r1r1k1/pp3ppp/7q/8/4b3/8/PP4P1/2R1R1K1 b - - 5 32,Rxc1,-9991,-9992,-1,1
4r1k1/pp3ppp/7q/8/4b3/8/PP4P1/2r1R1K1 w - - 0 33,Rxc1,-9992,-9992,0,1
4r1k1/pp3ppp/7q/8/4b3/8/PP4P1/2R3K1 b - - 0 33,Qxc1+,-9994,-9995,-1,1
4r1k1/pp3ppp/8/8/4b3/8/PP4P1/2q3K1 w - - 0 34,Kf2,-9995,-9995,0,1
4r1k1/pp3ppp/8/8/4b3/8/PP3KP1/2q5 b - - 1 34,Qxb2+,-9996,-9994,2,1
4r1k1/pp3ppp/8/8/4b3/8/Pq3KP1/8 w - - 0 35,Ke3,-9994,-9995,-1,1
4r1k1/pp3ppp/8/8/4b3/4K3/Pq4P1/8 b - - 1 35,Qxa2,-9995,-1089,8906,1
4r1k1/pp3ppp/8/8/4b3/4K3/q5P1/8 w - - 0 36,Kf4,-9994,-9993,1,1
4r1k1/pp3ppp/8/8/4bK2/8/q5P1/8 b - - 1 36,Qxg2,-9994,-9995,-1,1
4r1k1/pp3ppp/8/8/4bK2/8/6q1/8 w - - 0 37,Ke3,-9993,-9995,-2,1
4r1k1/pp3ppp/8/8/4b3/4K3/6q1/8 b - - 1 37,Bc6+,-9995,-9995,0,1
4r1k1/pp3ppp/2b5/8/8/4K3/6q1/8 w - - 2 38,Kd4,-9996,-9996,0,1
4r1k1/pp3ppp/2b5/8/3K4/8/6q1/8 b - - 3 38,Re4+,-9996,-9996,0,1
6k1/pp3ppp/2b5/8/3Kr3/8/6q1/8 w - - 4 39,Kc5,-9996,-9998,-2,1
6k1/pp3ppp/2b5/2K5/4r3/8/6q1/8 b - - 5 39,Qg5+,-9998,-9999,-1,1
6k1/pp3ppp/2b5/2K3q1/4r3/8/8/8 w - - 6 40,Kd6,-9999,-9999,0,1
6k1/pp3ppp/2bK4/6q1/4r3/8/8/8 b - - 7 40,Re6+,-9999,-9998,1,1
6k1/pp3ppp/2bKr3/6q1/8/8/8/8 w - - 8 41,Kc7,-9998,-9998,0,1
6k1/ppK2ppp/2b1r3/6q1/8/8/8/8 b - - 9 41,Qe5+,-9998,-9999,-1,1
6k1/ppK2ppp/2b1r3/4q3/8/8/8/8 w - - 10 42,Kc8,-9999,-9999,0,1
2K3k1/pp3ppp/2b1r3/4q3/8/8/8/8 b - - 11 42,Re8#,-9999,-10000,-1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,38,31,-7,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,43,45,2,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d3,47,-18,-65,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,d6,-15,7,22,1
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,Nf3,20,2,-18,1
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,Nf6,7,7,0,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,Nc3,11,9,-2,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 3 4,Be7,12,8,-4,1
rnbqk2r/ppp1bppp/3p1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 4 5,Bg5,26,-29,-55,1
rnbqk2r/ppp1bppp/3p1n2/4p1B1/4P3/2NP1N2/PPP2PPP/R2QKB1R b KQkq - 5 5,O-O,-42,-40,2,1
rnbq1rk1/ppp1bppp/3p1n2/4p1B1/4P3/2NP1N2/PPP2PPP/R2QKB1R w KQ - 6 6,h3,-31,-38,-7,1
rnbq1rk1/ppp1bppp/3p1n2/4p1B1/4P3/2NP1N1P/PPP2PP1/R2QKB1R b KQ - 0 6,h6,-34,-43,-9,1
rnbq1rk1/ppp1bpp1/3p1n1p/4p1B1/4P3/2NP1N1P/PPP2PP1/R2QKB1R w KQ - 0 7,Bxf6,-40,-48,-8,1
rnbq1rk1/ppp1bpp1/3p1B1p/4p3/4P3/2NP1N1P/PPP2PP1/R2QKB1R b KQ - 0 7,Bxf6,-56,-53,3,1
rnbq1rk1/ppp2pp1/3p1b1p/4p3/4P3/2NP1N1P/PPP2PP1/R2QKB1R w KQ - 0 8,h4,-46,-105,-59,1
rnbq1rk1/ppp2pp1/3p1b1p/4p3/4P2P/2NP1N2/PPP2PP1/R2QKB1R b KQ - 0 8,Nc6,-83,-41,42,1
r1bq1rk1/ppp2pp1/2np1b1p/4p3/4P2P/2NP1N2/PPP2PP1/R2QKB1R w KQ - 1 9,h5,-40,-135,-95,1
r1bq1rk1/ppp2pp1/2np1b1p/4p2P/4P3/2NP1N2/PPP2PP1/R2QKB1R b KQ - 0 9,Be6,-142,-124,18,1
r2q1rk1/ppp2pp1/2npbb1p/4p2P/4P3/2NP1N2/PPP2PP1/R2QKB1R w KQ - 1 10,Nd2,-130,-144,-14,1
r2q1rk1/ppp2pp1/2npbb1p/4p2P/4P3/2NP4/PPPN1PP1/R2QKB1R b KQ - 2 10,d5,-147,-32,115,1
r2q1rk1/ppp2pp1/2n1bb1p/3pp2P/4P3/2NP4/PPPN1PP1/R2QKB1R w KQ - 0 11,exd5,-36,-37,-1,1
r2q1rk1/ppp2pp1/2n1bb1p/3Pp2P/8/2NP4/PPPN1PP1/R2QKB1R b KQ - 0 11,Bxd5,-41,-26,15,1
r2q1rk1/ppp2pp1/2n2b1p/3bp2P/8/2NP4/PPPN1PP1/R2QKB1R w KQ - 0 12,Nxd5,-12,-25,-13,1
r2q1rk1/ppp2pp1/2n2b1p/3Np2P/8/3P4/PPPN1PP1/R2QKB1R b KQ - 0 12,Qxd5,-26,-23,3,1
r4rk1/ppp2pp1/2n2b1p/3qp2P/8/3P4/PPPN1PP1/R2QKB1R w KQ - 0 13,g4,-22,-533,-511,0
r4rk1/ppp2pp1/2n2b1p/3qp2P/6P1/3P4/PPPN1P2/R2QKB1R b KQ - 0 13,e4,-475,-137,338,1
r4rk1/ppp2pp1/2n2b1p/3q3P/4p1P1/3P4/PPPN1P2/R2QKB1R w KQ - 0 14,dxe4,-126,-177,-51,1
r4rk1/ppp2pp1/2n2b1p/3q3P/4P1P1/8/PPPN1P2/R2QKB1R b KQ - 0 14,Rfe8,-173,-119,54,1
r3r1k1/ppp2pp1/2n2b1p/3q3P/4P1P1/8/PPPN1P2/R2QKB1R w KQ - 1 15,Be2,-163,-207,-44,1
r3r1k1/ppp2pp1/2n2b1p/3q3P/4P1P1/8/PPPNBP2/R2QK2R b KQ - 2 15,Qc5,-223,-160,63,1
r3r1k1/ppp2pp1/2n2b1p/2q4P/4P1P1/8/PPPNBP2/R2QK2R w KQ - 3 16,c3,-156,-212,-56,1
r3r1k1/ppp2pp1/2n2b1p/2q4P/4P1P1/2P5/PP1NBP2/R2QK2R b KQ - 0 16,Rad8,-228,-235,-7,1
3rr1k1/ppp2pp1/2n2b1p/2q4P/4P1P1/2P5/PP1NBP2/R2QK2R w KQ - 1 17,Qc2,-242,-267,-25,1
3rr1k1/ppp2pp1/2n2b1p/2q4P/4P1P1/2P5/PPQNBP2/R3K2R b KQ - 2 17,Bg5,-290,-101,189,1
3rr1k1/ppp2pp1/2n4p/2q3bP/4P1P1/2P5/PPQNBP2/R3K2R w KQ - 3 18,O-O-O,-70,-460,-390,0
3rr1k1/ppp2pp1/2n4p/2q3bP/4P1P1/2P5/PPQNBP2/2KR3R b - - 4 18,Bxd2+,-459,-138,321,1
3rr1k1/ppp2pp1/2n4p/2q4P/4P1P1/2P5/PPQbBP2/2KR3R w - - 0 19,Rxd2,-145,-92,53,1
3rr1k1/ppp2pp1/2n4p/2q4P/4P1P1/2P5/PPQRBP2/2K4R b - - 0 19,Rxd2,-102,-38,64,1
4r1k1/ppp2pp1/2n4p/2q4P/4P1P1/2P5/PPQrBP2/2K4R w - - 0 20,Qxd2,-41,-48,-7,1
4r1k1/ppp2pp1/2n4p/2q4P/4P1P1/2P5/PP1QBP2/2K4R b - - 0 20,Rxe4,-41,0,41,1
6k1/ppp2pp1/2n4p/2q4P/4r1P1/2P5/PP1QBP2/2K4R w - - 0 21,Bf3,3,3,0,1
6k1/ppp2pp1/2n4p/2q4P/4r1P1/2P2B2/PP1Q1P2/2K4R b - - 1 21,Re8,0,2,2,1
4r1k1/ppp2pp1/2n4p/2q4P/6P1/2P2B2/PP1Q1P2/2K4R w - - 2 22,Bxc6,0,-20,-20,1
4r1k1/ppp2pp1/2B4p/2q4P/6P1/2P5/PP1Q1P2/2K4R b - - 0 22,Qxc6,-7,-11,-4,1
4r1k1/ppp2pp1/2q4p/7P/6P1/2P5/PP1Q1P2/2K4R w - - 0 23,Kb1,-8,-745,-737,0
4r1k1/ppp2pp1/2q4p/7P/6P1/2P5/PP1Q1P2/1K5R b - - 1 23,Qxh1+,-722,-705,17,1
4r1k1/ppp2pp1/7p/7P/6P1/2P5/PP1Q1P2/1K5q w - - 0 24,Kc2,-716,-697,19,1
4r1k1/ppp2pp1/7p/7P/6P1/2P5/PPKQ1P2/7q b - - 1 24,Qe4+,-694,-675,19,1
4r1k1/ppp2pp1/7p/7P/4q1P1/2P5/PPKQ1P2/8 w - - 2 25,Kc1,-693,-724,-31,1
4r1k1/ppp2pp1/7p/7P/4q1P1/2P5/PP1Q1P2/2K5 b - - 3 25,Qe1+,-724,-574,150,1
4r1k1/ppp2pp1/7p/7P/6P1/2P5/PP1Q1P2/2K1q3 w - - 4 26,Kc2,-583,-701,-118,0
4r1k1/ppp2pp1/7p/7P/6P1/2P5/PPKQ1P2/4q3 b - - 5 26,Qxd2+,-690,-602,88,1
4r1k1/ppp2pp1/7p/7P/6P1/2P5/PPKq1P2/8 w - - 0 27,Kb3,-617,-987,-370,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,48,37,-11,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,35,26,-9,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,37,30,-7,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,28,57,29,1
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4,77,65,-12,1
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,exd4,62,83,21,1
rnbqkbnr/ppp2ppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Nxd4,77,72,-5,1
rnbqkbnr/ppp2ppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,h6,55,107,52,1
rnbqkbnr/ppp2pp1/3p3p/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,Nc3,112,110,-2,1
rnbqkbnr/ppp2pp1/3p3p/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 5,a6,97,121,24,1
rnbqkbnr/1pp2pp1/p2p3p/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,Qf3,123,85,-38,1
rnbqkbnr/1pp2pp1/p2p3p/8/3NP3/2N2Q2/PPP2PPP/R1B1KB1R b KQkq - 1 6,Nf6,99,104,5,1
rnbqkb1r/1pp2pp1/p2p1n1p/8/3NP3/2N2Q2/PPP2PPP/R1B1KB1R w KQkq - 2 7,Bc4,109,67,-42,1
rnbqkb1r/1pp2pp1/p2p1n1p/8/2BNP3/2N2Q2/PPP2PPP/R1B1K2R b KQkq - 3 7,Bg4,56,137,81,1
rn1qkb1r/1pp2pp1/p2p1n1p/8/2BNP1b1/2N2Q2/PPP2PPP/R1B1K2R w KQkq - 4 8,Qf4,166,78,-88,1
rn1qkb1r/1pp2pp1/p2p1n1p/8/2BNPQb1/2N5/PPP2PPP/R1B1K2R b KQkq - 5 8,g5,69,99,30,1
rn1qkb1r/1pp2p2/p2p1n1p/6p1/2BNPQb1/2N5/PPP2PPP/R1B1K2R w KQkq - 0 9,Qg3,110,78,-32,1
rn1qkb1r/1pp2p2/p2p1n1p/6p1/2BNP1b1/2N3Q1/PPP2PPP/R1B1K2R b KQkq - 1 9,c6,108,191,83,1
rn1qkb1r/1p3p2/p1pp1n1p/6p1/2BNP1b1/2N3Q1/PPP2PPP/R1B1K2R w KQkq - 0 10,h3,163,151,-12,1
rn1qkb1r/1p3p2/p1pp1n1p/6p1/2BNP1b1/2N3QP/PPP2PP1/R1B1K2R b KQkq - 0 10,Bh5,153,160,7,1
rn1qkb1r/1p3p2/p1pp1n1p/6pb/2BNP3/2N3QP/PPP2PP1/R1B1K2R w KQkq - 1 11,e5,172,75,-97,1
rn1qkb1r/1p3p2/p1pp1n1p/4P1pb/2BN4/2N3QP/PPP2PP1/R1B1K2R b KQkq - 0 11,Nd5,27,293,266,1
rn1qkb1r/1p3p2/p1pp3p/3nP1pb/2BN4/2N3QP/PPP2PP1/R1B1K2R w KQkq - 1 12,Nxd5,285,163,-122,0
rn1qkb1r/1p3p2/p1pp3p/3NP1pb/2BN4/6QP/PPP2PP1/R1B1K2R b KQkq - 0 12,cxd5,143,126,-17,1
rn1qkb1r/1p3p2/p2p3p/3pP1pb/2BN4/6QP/PPP2PP1/R1B1K2R w KQkq - 0 13,Bxd5,113,50,-63,1
rn1qkb1r/1p3p2/p2p3p/3BP1pb/3N4/6QP/PPP2PP1/R1B1K2R b KQkq - 0 13,dxe5,48,393,345,1
rn1qkb1r/1p3p2/p6p/3Bp1pb/3N4/6QP/PPP2PP1/R1B1K2R w KQkq - 0 14,Qxe5+,372,352,-20,1
rn1qkb1r/1p3p2/p6p/3BQ1pb/3N4/7P/PPP2PP1/R1B1K2R b KQkq - 0 14,Qe7,347,337,-10,1
rn2kb1r/1p2qp2/p6p/3BQ1pb/3N4/7P/PPP2PP1/R1B1K2R w KQkq - 1 15,Qxe7+,359,352,-7,1
rn2kb1r/1p2Qp2/p6p/3B2pb/3N4/7P/PPP2PP1/R1B1K2R b KQkq - 0 15,Bxe7,356,359,3,1
rn2k2r/1p2bp2/p6p/3B2pb/3N4/7P/PPP2PP1/R1B1K2R w KQkq - 0 16,Bxb7,361,290,-71,1
rn2k2r/1B2bp2/p6p/6pb/3N4/7P/PPP2PP1/R1B1K2R b KQkq - 0 16,Ra7,287,310,23,1
1n2k2r/rB2bp2/p6p/6pb/3N4/7P/PPP2PP1/R1B1K2R w KQk - 1 17,Bd5,304,305,1,1
1n2k2r/r3bp2/p6p/3B2pb/3N4/7P/PPP2PP1/R1B1K2R b KQk - 2 17,Rd7,263,327,64,1
1n2k2r/3rbp2/p6p/3B2pb/3N4/7P/PPP2PP1/R1B1K2R w KQk - 3 18,Bc6,341,-459,-800,0
1n2k2r/3rbp2/p1B4p/6pb/3N4/7P/PPP2PP1/R1B1K2R b KQk - 4 18,Nxc6,-441,-464,-23,1
4k2r/3rbp2/p1n4p/6pb/3N4/7P/PPP2PP1/R1B1K2R w KQk - 0 19,O-O,-430,-599,-169,0
4k2r/3rbp2/p1n4p/6pb/3N4/7P/PPP2PP1/R1B2RK1 b k - 1 19,Rxd4,-575,-567,8,1
